"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Brian Flynn","Royals","4.70","3.52","1.33","0.78","11.3 %","8.5 %","2.8 %",".330","1.74",".363","74.6 %","108","116","133","4.70","4.77","-0.08","5.62","5.12","12027"
"Jason Hammel","Royals","4.58","2.72","1.69","1.19","11.4 %","6.8 %","4.7 %",".283","1.47",".297","59.3 %","145","116","125","6.28","4.78","1.50","5.27","5.32","4538"
"Chad Kuhl","Pirates","8.52","3.26","2.61","1.63","22.2 %","8.5 %","13.7 %",".266","1.39",".309","73.6 %","118","122","104","4.53","4.79","-0.26","4.17","4.19","14975"
"Brandon Woodruff","Brewers","8.83","3.63","2.43","1.56","21.3 %","8.8 %","12.5 %",".278","1.56",".327","63.0 %","169","117","104","6.75","4.80","1.95","4.14","4.00","16162"
"Reynaldo Lopez","White Sox","6.46","3.81","1.70","1.16","17.2 %","10.1 %","7.1 %",".199","1.16",".213","78.3 %","70","112","130","2.98","4.80","-1.82","5.48","5.18","16400"
"Cole Hamels","Rangers","9.93","3.66","2.71","1.57","25.1 %","9.3 %","15.9 %",".226","1.28",".271","81.1 %","78","112","97","3.48","4.81","-1.32","4.08","3.89","4972"
"Derek Holland","Giants","7.99","3.80","2.10","1.52","21.0 %","10.0 %","11.0 %",".222","1.27",".246","65.6 %","132","127","123","4.94","4.81","0.13","4.91","4.63","4141"
"Yu Darvish","Cubs","11.03","4.73","2.33","1.58","27.2 %","11.7 %","15.6 %",".232","1.43",".293","72.3 %","126","121","104","4.95","4.82","0.13","4.17","4.02","13074"
"Jake Odorizzi","Twins","9.17","3.83","2.39","1.67","24.4 %","10.2 %","14.2 %",".224","1.26",".257","87.3 %","72","113","111","3.17","4.83","-1.66","4.67","4.39","6397"
"Corey Oswalt","Mets","7.71","0.00","4.00","1.93","22.2 %","0.0 %","22.2 %",".118","0.43",".083","62.5 %","103","122","86","3.86","4.84","-0.98","3.44","2.79","13677"
"Masahiro Tanaka","Yankees","7.99","2.24","3.57","1.76","21.7 %","6.1 %","15.6 %",".225","1.10",".243","65.2 %","115","111","93","4.95","4.84","0.11","3.89","3.86","15764"
"Luis Castillo","Reds","8.77","3.51","2.50","1.75","22.1 %","8.9 %","13.3 %",".277","1.50",".322","69.8 %","142","120","99","5.61","4.88","0.73","3.96","4.09","15689"
"Mike Leake","Mariners","6.00","2.82","2.13","1.41","15.0 %","7.1 %","8.0 %",".298","1.53",".325","65.4 %","146","118","111","6.00","4.89","1.11","4.69","4.77","10130"
"Zach Davies","Brewers","6.62","3.18","2.08","1.32","17.2 %","8.3 %","9.0 %",".238","1.26",".260","74.4 %","106","119","115","4.24","4.89","-0.65","4.60","4.61","13183"
"Sergio Romo","Rays","12.54","4.34","2.89","1.93","31.0 %","10.7 %","20.2 %",".247","1.45",".326","85.5 %","104","119","94","4.34","4.89","-0.55","3.93","3.21","9817"
"Jordan Hicks","Cardinals","3.68","6.55","0.56","0.00","9.5 %","16.8 %","-7.4 %",".171","1.32",".194","81.3 %","54","124","153","2.05","4.89","-2.85","6.08","6.12","19618"
"Jake Faria","Rays","7.00","4.20","1.67","1.20","18.2 %","10.9 %","7.3 %",".226","1.31",".252","67.2 %","125","119","126","5.20","4.90","0.30","5.30","5.10","13699"
"Aaron Sanchez","Blue Jays","7.15","5.19","1.38","0.89","17.6 %","12.8 %","4.9 %",".250","1.53",".293","72.4 %","103","116","120","4.47","4.91","-0.44","5.04","5.04","11490"
"Austin Pruitt","Rays","4.43","2.66","1.67","1.33","11.6 %","7.0 %","4.7 %",".238","1.23",".239","48.1 %","138","120","123","5.75","4.94","0.81","5.18","4.89","15290"
"Justin Wilson","Cubs","10.90","8.31","1.31","1.04","26.9 %","20.5 %","6.4 %",".194","1.62",".256","83.3 %","92","124","134","3.63","4.97","-1.33","5.34","5.11","4301"
"Evan Marshall","Indians","6.75","10.13","0.67","0.00","14.3 %","21.4 %","-7.1 %",".273","2.25",".333","66.7 %","154","118","147","6.75","5.00","1.75","6.22","6.48","12297"
"Nick Tropeano","Angels","7.24","4.18","1.73","1.39","19.4 %","11.2 %","8.2 %",".246","1.36",".276","76.3 %","108","121","118","4.45","5.01","-0.56","4.96","4.91","12385"
"Matt Harvey","- - -","6.94","2.31","3.00","1.80","17.4 %","5.8 %","11.6 %",".283","1.43",".306","65.5 %","164","127","109","6.17","5.04","1.13","4.34","4.38","11713"
"Julio Teheran","Braves","7.83","4.00","1.96","1.50","21.0 %","10.7 %","10.3 %",".218","1.24",".241","78.4 %","107","128","122","4.17","5.05","-0.88","4.87","4.67","6797"
"Taylor Williams","Brewers","13.80","6.60","2.09","1.80","34.3 %","16.4 %","17.9 %",".164","1.33",".207","83.3 %","90","123","91","3.60","5.06","-1.46","3.65","3.60","14899"
"Matt Grace","Nationals","8.44","3.38","2.50","1.69","23.8 %","9.5 %","14.3 %",".162","0.94",".160","48.8 %","128","129","116","5.06","5.09","-0.03","4.63","3.78","11449"
"Tyler Lyons","Cardinals","9.26","3.86","2.40","1.54","21.4 %","8.9 %","12.5 %",".286","1.63",".343","71.4 %","161","129","121","6.17","5.09","1.08","4.81","4.05","11334"
"Dylan Bundy","Orioles","10.57","3.19","3.32","2.18","26.8 %","8.1 %","18.7 %",".262","1.40",".312","73.1 %","108","117","100","4.70","5.10","-0.40","4.19","3.71","12917"
"Ben Lively","Phillies","8.37","3.80","2.20","1.52","19.1 %","8.7 %","10.4 %",".333","1.86",".395","70.1 %","175","124","128","6.85","5.11","1.74","5.11","4.69","14932"
"Drew Pomeranz","Red Sox","8.79","5.02","1.75","1.57","21.1 %","12.0 %","9.0 %",".299","1.78",".357","70.5 %","134","124","117","5.97","5.11","0.85","4.94","4.81","11426"
"Alan Busenitz","Twins","15.75","4.50","3.50","2.25","31.8 %","9.1 %","22.7 %",".421","2.50",".636","83.3 %","154","120","93","6.75","5.12","1.63","3.90","2.84","15239"
"Jimmie Sherfy","Diamondbacks","4.50","9.00","0.50","0.00","12.5 %","25.0 %","-12.5 %",".000","1.00",".000","100.0 %","0","129","211","0.00","5.12","-5.12","8.37","8.68","15118"
"Jorge De La Rosa","Diamondbacks","5.51","4.41","1.25","1.10","14.3 %","11.4 %","2.9 %",".180","1.16",".184","75.6 %","98","129","134","3.86","5.14","-1.29","5.34","5.12","2047"
"Alex Wilson","Tigers","7.20","2.70","2.67","1.80","20.8 %","7.8 %","13.0 %",".200","1.00",".200","71.4 %","103","121","104","4.50","5.17","-0.67","4.36","3.89","9239"
"Zac Curtis","Phillies","8.44","11.81","0.71","0.00","18.5 %","25.9 %","-7.4 %",".250","2.25",".333","83.3 %","86","126","185","3.38","5.18","-1.81","7.32","7.16","16684"
"Pedro Araujo","Orioles","10.96","4.30","2.55","1.96","27.7 %","10.9 %","16.8 %",".239","1.39",".291","66.7 %","145","119","109","6.26","5.21","1.05","4.57","3.61","17697"
"Matt Moore","Rangers","7.13","4.54","1.57","1.30","15.7 %","10.0 %","5.7 %",".341","2.02",".390","60.3 %","178","121","135","7.99","5.21","2.78","5.72","5.18","1890"
"Bartolo Colon","Rangers","5.75","0.80","7.20","2.08","16.4 %","2.3 %","14.1 %",".221","0.92",".207","86.6 %","78","121","93","3.51","5.22","-1.70","3.89","3.93","375"
"Joe Smith","Astros","8.78","3.38","2.60","2.03","23.2 %","8.9 %","14.3 %",".275","1.43",".314","54.1 %","179","124","98","7.43","5.22","2.20","4.12","3.72","3281"
