Matt Wieters|898|-0.004|0.006|-0.5|0.8|603|0.000|0.0|10|-0.000|-0.000|0.0|-0.5|-0.8
John Hicks|465|-0.008|0.004|-0.6|0.3|358|0.000|0.0|5|-0.000|-0.006|0.0|-0.6|0.0
J.t. Realmuto|990|-0.005|0.006|-0.8|0.9|662|0.000|0.0|5|-0.000|-0.005|0.0|-0.8|-0.9
Elias Diaz|523|-0.010|0.005|-0.8|0.4|356|0.000|0.0|3|0.000|-0.001|0.0|-0.8|-0.7
Chance Sisco|965|-0.006|0.002|-0.8|0.4|671|0.000|0.0|13|-0.000|0.007|0.0|-0.8|-1.1
Salvador Perez|636|-0.009|0.004|-0.9|0.3|430|0.000|0.0|5|-0.000|-0.006|0.0|-0.9|-0.6
Martin Maldonado|1,576|-0.004|0.002|-0.9|0.6|995|0.000|0.0|7|0.000|-0.009|0.0|-0.9|-1.4
Andrew Knapp|866|-0.007|0.002|-0.9|0.3|603|0.000|0.0|7|0.000|-0.001|0.0|-0.9|-1.0
Carlos Perez|412|-0.015|0.006|-0.9|0.4|320|0.000|0.0|4|-0.000|0.004|0.0|-0.9|-1.0
A.j. Ellis|609|-0.011|0.004|-1.0|0.3|403|0.000|0.0|11|0.000|0.006|-0.0|-1.0|-0.5
Bruce Maxwell|621|-0.011|0.006|-1.1|0.6|369|0.000|0.0|9|0.000|0.017|-0.0|-1.1|-0.6
Devin Mesoraco|618|-0.012|0.005|-1.1|0.5|358|0.000|0.0|6|-0.000|0.002|0.0|-1.1|-1.1
Manny Pina|1,222|-0.007|0.004|-1.4|0.8|737|0.000|0.0|12|-0.000|0.007|0.0|-1.4|-1.1
David Freitas|763|-0.012|0.005|-1.4|0.5|494|0.000|0.0|6|0.000|-0.002|0.0|-1.4|-1.3
Nick Hundley|756|-0.015|0.004|-1.7|0.5|513|0.000|0.0|12|0.000|-0.000|0.0|-1.7|-1.5
Kurt Suzuki|1,275|-0.009|0.003|-1.8|0.5|842|0.000|0.0|8|0.000|-0.006|0.0|-1.8|-2.4
Tucker Barnhart|1,656|-0.007|0.005|-1.9|1.2|1167|0.000|0.0|21|-0.000|-0.001|0.0|-1.9|-2.0
Robinson Chirinos|1,852|-0.007|0.002|-2.0|0.6|1315|0.000|0.0|14|0.000|-0.005|0.0|-1.9|-2.3
Chris Iannetta|1,456|-0.009|0.004|-2.1|0.9|864|0.000|0.0|11|0.000|0.003|-0.0|-2.1|-2.3
Omar Narvaez|824|-0.017|0.003|-2.1|0.4|600|0.000|0.0|17|-0.000|0.021|0.0|-2.1|-2.4
Mitch Garver|679|-0.023|0.002|-2.4|0.2|424|0.000|0.0|6|0.000|0.001|-0.0|-2.4|-2.2
Jonathan Lucroy|1,475|-0.011|0.002|-2.5|0.5|1009|0.000|0.0|23|-0.000|0.014|0.0|-2.5|-3.2
Drew Butera|1,172|-0.016|0.003|-2.9|0.6|800|0.000|0.0|9|0.000|-0.007|0.0|-2.9|-2.8
Welington Castillo|1,389|-0.015|0.003|-3.1|0.7|959|0.000|0.0|13|-0.000|0.011|0.0|-3.1|-2.8
Francisco Cervelli|1,743|-0.013|0.003|-3.4|0.8|1204|0.000|0.0|14|-0.000|0.002|0.0|-3.4|-2.4
Willson Contreras|1,708|-0.020|0.002|-5.3|0.4|1208|0.000|0.0|14|0.000|0.000|-0.0|-5.3|-5.6
